Emotion,Mood_Intensity,Sleep_Quality,Feedback,Age,Gender,Time_of_Day,Location,Weather,Activity,Frequency
Anxious,5,1,3,43,Male,Evening,Home,Cloudy,Working,4.075978553
Happy,5,4,1,25,Female,Morning,Home,Rainy,Working,6.569481425
Anxious,2,3,3,56,Male,Night,Public Space,Cloudy,Socializing,4.681768654
Happy,4,6,3,51,Female,Evening,Public Space,Cloudy,Working,6.349331344
Anxious,1,6,5,54,Male,Night,Outdoors,Snowy,Relaxing,4.119077037
Happy,5,1,4,27,Female,Morning,Outdoors,Rainy,Socializing,6.495697817
Relaxed,2,6,4,47,Male,Night,Work,Rainy,Relaxing,6.201260233
Happy,5,5,2,60,Male,Morning,Outdoors,Sunny,Working,6.014062212
Anxious,5,2,3,44,Female,Afternoon,Work,Rainy,Exercising,4.767879621
Anxious,4,10,3,50,Male,Morning,Home,Rainy,Relaxing,4.20590295
Relaxed,3,9,2,43,Male,Morning,Outdoors,Cloudy,Socializing,5.582063679
Sad,2,3,5,37,Male,Morning,Work,Cloudy,Socializing,5.514854372
Stressed,1,4,1,27,Male,Afternoon,Outdoors,Cloudy,Socializing,4.678454179
Anxious,1,6,1,60,Male,Morning,Public Space,Sunny,Relaxing,4.440921355
Anxious,2,6,3,57,Female,Evening,Outdoors,Cloudy,Socializing,3.782036593
Sad,1,10,4,44,Male,Night,Public Space,Cloudy,Working,4.939489877
Stressed,1,9,2,43,Male,Morning,Public Space,Sunny,Working,4.485284048
Anxious,4,8,5,61,Female,Night,Outdoors,Cloudy,Working,4.929812804
Happy,5,8,1,47,Male,Night,Outdoors,Snowy,Working,6.584350058
Happy,3,8,2,53,Female,Night,Work,Sunny,Working,6.200691846
Happy,2,4,5,55,Female,Night,Work,Sunny,Exercising,6.365353346
Stressed,1,8,1,48,Male,Evening,Home,Sunny,Working,4.825464463
Stressed,2,5,1,27,Female,Night,Outdoors,Cloudy,Socializing,4.359608223
Anxious,3,5,3,20,Female,Evening,Home,Sunny,Exercising,4.257060722
Stressed,2,3,1,36,Female,Afternoon,Work,Snowy,Socializing,4.857699331
Sad,3,10,4,41,Male,Night,Home,Sunny,Socializing,5.40608068
Anxious,4,3,4,26,Male,Evening,Public Space,Rainy,Working,3.989466991
Anxious,3,9,1,23,Female,Morning,Work,Cloudy,Relaxing,4.390061186
Sad,5,8,4,45,Female,Morning,Public Space,Cloudy,Exercising,5.272051684
Sad,4,10,2,29,Female,Night,Home,Snowy,Relaxing,5.798053633
Relaxed,5,1,5,40,Female,Morning,Home,Sunny,Exercising,5.907745492
Stressed,3,5,4,45,Male,Evening,Home,Rainy,Working,4.698215841
Relaxed,2,6,3,37,Female,Morning,Home,Snowy,Exercising,5.518396912
Happy,3,7,3,44,Female,Afternoon,Outdoors,Sunny,Socializing,5.891693922
Relaxed,3,7,2,42,Female,Night,Home,Rainy,Working,6.228924124
Sad,2,9,4,36,Male,Afternoon,Work,Sunny,Relaxing,5.722858335
Sad,2,9,2,21,Male,Morning,Work,Cloudy,Relaxing,5.780736887
Anxious,2,2,4,30,Male,Night,Outdoors,Snowy,Exercising,3.889166631
Anxious,1,8,2,53,Male,Afternoon,Home,Cloudy,Exercising,3.924858665
Stressed,4,4,5,51,Male,Morning,Public Space,Snowy,Working,4.724946494
Happy,5,1,2,44,Female,Afternoon,Work,Sunny,Working,6.548567443
Sad,2,6,1,29,Male,Afternoon,Home,Snowy,Socializing,5.387540831
Stressed,5,6,4,46,Male,Morning,Home,Cloudy,Socializing,4.542654958
Sad,2,5,5,49,Male,Morning,Public Space,Snowy,Relaxing,5.703101508
Stressed,1,4,4,60,Male,Afternoon,Public Space,Sunny,Working,4.987617901
Anxious,1,6,1,41,Female,Night,Home,Snowy,Working,3.724732282
Relaxed,2,7,2,44,Female,Night,Public Space,Rainy,Socializing,5.583290468
Happy,4,2,3,18,Female,Afternoon,Home,Rainy,Relaxing,5.859949472
Happy,1,1,5,41,Male,Morning,Home,Cloudy,Relaxing,5.981545211
Happy,2,4,1,51,Female,Evening,Home,Snowy,Exercising,6.045312275
Relaxed,3,5,5,20,Female,Afternoon,Work,Cloudy,Relaxing,5.614465176
Sad,5,1,2,22,Male,Afternoon,Home,Rainy,Socializing,5.261679845
Happy,2,1,5,32,Male,Evening,Public Space,Sunny,Socializing,6.738175092
Sad,1,5,4,40,Female,Morning,Public Space,Snowy,Working,4.863003934
Sad,5,7,3,35,Female,Morning,Outdoors,Rainy,Socializing,5.479133297
Stressed,2,6,4,38,Female,Afternoon,Home,Cloudy,Exercising,4.863903185
Stressed,5,6,1,41,Female,Evening,Outdoors,Snowy,Working,4.968669534
Stressed,4,10,4,34,Male,Evening,Public Space,Cloudy,Socializing,5.459841161
Anxious,5,7,2,61,Male,Morning,Outdoors,Snowy,Relaxing,4.540896264
Relaxed,5,9,5,53,Female,Evening,Outdoors,Sunny,Working,6.036450939
Stressed,2,1,3,50,Female,Evening,Work,Cloudy,Working,4.448406485
Relaxed,1,2,4,49,Male,Morning,Work,Sunny,Relaxing,5.343967644
Happy,5,4,1,58,Male,Evening,Work,Rainy,Exercising,6.711739733
Happy,5,10,4,59,Female,Evening,Public Space,Snowy,Exercising,6.853079166
Anxious,2,7,4,27,Female,Afternoon,Home,Snowy,Exercising,3.956571579
Stressed,3,10,2,36,Female,Afternoon,Public Space,Snowy,Socializing,5.255720288
Anxious,5,2,3,46,Female,Evening,Public Space,Snowy,Exercising,4.791266676
Happy,1,8,4,55,Female,Morning,Work,Rainy,Relaxing,6.477944294
Happy,3,5,3,53,Female,Night,Outdoors,Rainy,Socializing,6.091519525
Relaxed,4,10,4,36,Female,Afternoon,Work,Sunny,Exercising,6.553648623
Happy,2,8,1,49,Male,Afternoon,Home,Snowy,Relaxing,5.918778375
Anxious,2,10,4,35,Female,Morning,Outdoors,Snowy,Working,4.825731449
Sad,1,9,5,45,Female,Morning,Home,Snowy,Exercising,5.834253633
Stressed,5,2,3,43,Male,Afternoon,Outdoors,Sunny,Relaxing,4.575972322
Happy,2,10,2,21,Male,Morning,Public Space,Snowy,Socializing,6.763483019
Happy,5,2,5,29,Male,Evening,Public Space,Cloudy,Relaxing,6.496969301
Relaxed,2,9,1,44,Female,Evening,Outdoors,Sunny,Relaxing,6.027534558
Relaxed,3,6,4,48,Male,Night,Home,Sunny,Socializing,5.667770129
Sad,3,2,3,28,Male,Morning,Home,Rainy,Socializing,5.608634333
Anxious,1,10,4,35,Male,Afternoon,Public Space,Rainy,Relaxing,4.504561996
Happy,2,7,5,38,Female,Night,Home,Cloudy,Exercising,6.361058852
Happy,5,8,2,64,Female,Evening,Work,Sunny,Relaxing,6.305295735
Happy,4,2,4,64,Male,Morning,Work,Snowy,Socializing,6.580184725
Relaxed,2,6,3,42,Female,Night,Home,Rainy,Socializing,5.360859689
Anxious,1,7,4,43,Female,Afternoon,Work,Sunny,Socializing,4.080761551
Relaxed,2,2,3,24,Male,Morning,Home,Rainy,Exercising,5.749133852
Relaxed,3,1,3,59,Female,Night,Work,Rainy,Relaxing,5.708758681
Relaxed,4,4,2,22,Male,Morning,Work,Cloudy,Working,6.103826584
Anxious,2,5,2,36,Female,Morning,Public Space,Snowy,Working,4.597024304
Happy,5,2,3,48,Female,Evening,Work,Snowy,Working,6.594919965
Sad,1,7,1,48,Female,Morning,Work,Sunny,Relaxing,4.749940481
Stressed,4,2,5,25,Female,Evening,Outdoors,Sunny,Socializing,4.737164126
Sad,1,9,2,35,Female,Morning,Outdoors,Snowy,Exercising,5.537192573
Sad,3,8,5,45,Male,Afternoon,Public Space,Snowy,Working,5.846198494
Happy,5,10,3,23,Male,Afternoon,Outdoors,Sunny,Socializing,6.108964442
Sad,1,8,2,32,Female,Evening,Outdoors,Sunny,Working,5.510687682
Relaxed,2,9,2,28,Male,Afternoon,Public Space,Snowy,Relaxing,5.815996482
Relaxed,3,3,3,22,Male,Evening,Public Space,Rainy,Working,5.321601701
Anxious,2,10,5,53,Male,Night,Outdoors,Cloudy,Socializing,4.887785154
Happy,5,8,2,55,Female,Afternoon,Public Space,Snowy,Socializing,6.584522136
Sad,1,3,5,24,Male,Night,Outdoors,Cloudy,Relaxing,5.753999622
Anxious,4,10,3,60,Male,Morning,Work,Snowy,Socializing,4.700639363
Sad,2,8,2,64,Female,Evening,Outdoors,Sunny,Working,5.676198563
Anxious,3,5,5,50,Male,Afternoon,Work,Rainy,Working,4.633325455
Sad,3,4,1,21,Female,Night,Public Space,Cloudy,Working,5.242607245
Stressed,3,9,3,45,Female,Morning,Work,Sunny,Relaxing,5.270144075
Anxious,4,3,3,61,Male,Night,Outdoors,Cloudy,Relaxing,3.96721381
Stressed,5,2,5,58,Male,Morning,Public Space,Rainy,Relaxing,4.88514353
Relaxed,5,10,3,57,Male,Afternoon,Work,Sunny,Working,5.714042968
Relaxed,4,6,5,33,Female,Night,Work,Rainy,Relaxing,6.336701266
Stressed,3,5,1,22,Male,Morning,Home,Rainy,Socializing,4.741936602
Anxious,1,6,3,44,Female,Afternoon,Home,Sunny,Exercising,4.577119072
Anxious,4,10,4,27,Male,Evening,Public Space,Snowy,Working,4.450204551
Stressed,5,8,4,53,Female,Evening,Home,Cloudy,Working,5.054189059
Happy,2,9,5,24,Male,Night,Home,Snowy,Relaxing,6.223216824
Happy,5,10,1,20,Female,Morning,Outdoors,Cloudy,Exercising,6.271992481
Stressed,5,2,1,39,Male,Afternoon,Public Space,Sunny,Exercising,4.853121625
Stressed,4,7,5,39,Female,Afternoon,Public Space,Cloudy,Socializing,5.110138358
Anxious,2,6,3,38,Female,Afternoon,Outdoors,Sunny,Working,4.436940529
Stressed,5,3,1,21,Female,Morning,Work,Snowy,Working,4.551036524
Anxious,5,2,4,28,Male,Evening,Work,Snowy,Socializing,4.136097676
Stressed,5,1,4,21,Female,Morning,Public Space,Snowy,Socializing,4.484878223
Sad,2,8,4,59,Female,Afternoon,Work,Cloudy,Working,5.033777046
Stressed,3,8,1,50,Female,Evening,Home,Cloudy,Socializing,4.304802141
Sad,3,10,4,42,Male,Morning,Work,Snowy,Socializing,5.987936006
Sad,3,10,2,46,Male,Evening,Home,Sunny,Exercising,4.887932874
Relaxed,4,9,4,21,Male,Morning,Outdoors,Rainy,Relaxing,6.257947347
Stressed,5,10,5,18,Female,Afternoon,Public Space,Cloudy,Exercising,4.925854132
Anxious,4,6,2,55,Male,Morning,Public Space,Snowy,Exercising,4.435514587
Anxious,4,9,5,19,Male,Evening,Public Space,Rainy,Relaxing,4.290592992
Relaxed,2,4,1,33,Male,Afternoon,Work,Sunny,Relaxing,5.68038454
Happy,1,1,3,42,Female,Afternoon,Outdoors,Rainy,Socializing,6.052070811
Sad,2,10,4,54,Male,Evening,Public Space,Rainy,Exercising,5.402224211
Sad,3,5,3,19,Female,Evening,Public Space,Snowy,Socializing,5.28930058
Stressed,2,5,4,19,Male,Afternoon,Outdoors,Snowy,Working,4.760923558
Happy,2,6,5,44,Male,Afternoon,Home,Cloudy,Exercising,5.970915053
Sad,2,2,1,24,Female,Night,Home,Snowy,Exercising,5.185733259
Stressed,4,3,1,52,Female,Evening,Public Space,Cloudy,Relaxing,4.574112798
Happy,3,7,2,27,Female,Night,Home,Snowy,Exercising,6.408481338
Relaxed,3,10,4,32,Male,Morning,Outdoors,Rainy,Exercising,5.884209779
Happy,1,5,3,64,Female,Evening,Home,Sunny,Exercising,5.870558157
Stressed,5,10,2,40,Female,Morning,Public Space,Sunny,Socializing,5.325591741
Relaxed,4,6,4,41,Female,Morning,Outdoors,Sunny,Working,5.659632129
Relaxed,2,6,1,61,Female,Evening,Home,Rainy,Socializing,5.232335323
Stressed,5,3,5,48,Male,Night,Public Space,Snowy,Relaxing,4.717898006
Sad,4,7,4,60,Female,Night,Home,Sunny,Working,5.510942371
Stressed,5,8,3,20,Female,Morning,Public Space,Snowy,Relaxing,4.584168356
Relaxed,4,7,3,34,Male,Evening,Home,Rainy,Relaxing,6.106619158
Sad,5,2,1,31,Female,Night,Public Space,Rainy,Exercising,5.633436537
Stressed,4,3,3,45,Male,Night,Outdoors,Snowy,Working,4.86412777
Happy,1,1,3,21,Female,Morning,Outdoors,Cloudy,Socializing,6.582487829
Stressed,3,10,2,59,Male,Morning,Outdoors,Snowy,Exercising,4.385510532
Anxious,2,4,2,21,Male,Night,Public Space,Rainy,Socializing,4.357573681
Stressed,2,9,5,54,Male,Night,Home,Rainy,Relaxing,4.935555351
Happy,3,9,3,36,Male,Afternoon,Work,Snowy,Socializing,6.756788129
Relaxed,3,7,5,52,Male,Morning,Home,Snowy,Socializing,6.18121404
Anxious,1,9,3,39,Female,Evening,Home,Snowy,Working,4.598062326
Sad,5,3,3,64,Female,Night,Outdoors,Rainy,Socializing,5.5616192
Relaxed,3,1,2,21,Female,Morning,Work,Cloudy,Working,5.52539163
Happy,5,8,5,41,Female,Evening,Work,Cloudy,Socializing,6.315742582
Sad,1,4,1,59,Male,Afternoon,Outdoors,Snowy,Exercising,5.258566076
Stressed,3,3,2,61,Male,Evening,Public Space,Snowy,Exercising,4.212160824
Stressed,1,10,5,51,Female,Night,Outdoors,Cloudy,Exercising,5.120810097
Stressed,4,4,2,19,Male,Morning,Home,Rainy,Relaxing,5.339109737
Happy,4,3,5,38,Female,Afternoon,Home,Snowy,Relaxing,6.891958671
Relaxed,2,7,2,46,Male,Morning,Home,Snowy,Relaxing,5.324063178
Happy,5,3,5,29,Male,Afternoon,Work,Cloudy,Relaxing,6.446894137
Stressed,1,9,3,55,Female,Evening,Work,Snowy,Working,4.795543362
Stressed,1,8,4,35,Male,Morning,Public Space,Cloudy,Socializing,4.732674285
Anxious,4,8,3,55,Female,Night,Work,Cloudy,Socializing,4.041165644
Sad,1,10,3,21,Male,Morning,Work,Sunny,Exercising,4.920971402
Relaxed,5,1,4,30,Male,Morning,Outdoors,Snowy,Relaxing,5.524535241
Happy,3,6,3,39,Male,Evening,Public Space,Snowy,Working,6.183639
Sad,3,10,3,21,Male,Night,Outdoors,Rainy,Socializing,5.129614387
Stressed,1,5,5,30,Female,Evening,Work,Sunny,Exercising,4.447973108
Anxious,5,4,5,30,Male,Afternoon,Work,Sunny,Relaxing,4.873197042
Stressed,1,6,3,22,Male,Evening,Work,Sunny,Relaxing,4.816867737
Happy,5,8,2,56,Female,Night,Outdoors,Rainy,Exercising,5.969248178
Sad,4,7,2,62,Male,Morning,Outdoors,Cloudy,Exercising,5.58737165
Anxious,4,9,2,29,Female,Night,Work,Sunny,Relaxing,4.376891728
Stressed,1,4,5,23,Male,Morning,Home,Rainy,Relaxing,5.129462576
Sad,5,9,4,54,Male,Night,Home,Rainy,Working,5.366476828
Sad,1,2,4,48,Female,Afternoon,Home,Snowy,Socializing,5.167831498
Stressed,4,3,1,41,Female,Afternoon,Work,Snowy,Socializing,4.6298962
Stressed,2,1,2,44,Male,Night,Public Space,Rainy,Working,4.799550857
Happy,2,9,5,32,Female,Afternoon,Home,Snowy,Exercising,6.602920446
Stressed,3,7,2,56,Male,Afternoon,Work,Rainy,Socializing,4.33064039
Happy,2,6,1,57,Male,Evening,Outdoors,Cloudy,Socializing,6.426245003
Stressed,1,1,3,19,Female,Afternoon,Outdoors,Sunny,Working,5.118723342
Sad,4,7,3,54,Male,Evening,Home,Cloudy,Relaxing,5.377815757
Anxious,2,6,1,54,Male,Evening,Outdoors,Rainy,Exercising,4.607162331
Sad,5,1,3,40,Male,Morning,Home,Sunny,Working,5.244965131
Anxious,4,8,2,33,Male,Morning,Outdoors,Cloudy,Relaxing,4.056189984
Happy,2,3,5,50,Male,Evening,Public Space,Snowy,Socializing,6.438794093
Stressed,3,6,5,64,Female,Morning,Work,Cloudy,Exercising,4.967079591
Relaxed,4,2,3,64,Female,Night,Work,Rainy,Working,5.770777323
Relaxed,1,8,2,42,Male,Afternoon,Outdoors,Rainy,Working,6.138636536
Happy,2,3,2,47,Female,Morning,Home,Cloudy,Exercising,6.090306197
Anxious,4,5,3,33,Male,Night,Outdoors,Rainy,Socializing,4.595402153
Stressed,2,7,5,53,Male,Morning,Public Space,Sunny,Relaxing,4.476399458
Relaxed,4,2,4,38,Female,Afternoon,Public Space,Rainy,Socializing,5.608447014
Stressed,3,2,1,50,Male,Night,Public Space,Sunny,Relaxing,4.499462372
Sad,3,1,4,27,Female,Night,Public Space,Sunny,Working,5.351916754
Sad,5,9,1,34,Male,Night,Public Space,Sunny,Socializing,5.244789199
Happy,4,10,4,50,Female,Night,Public Space,Sunny,Exercising,6.23781582
Sad,3,6,5,28,Male,Afternoon,Home,Rainy,Exercising,5.822977115
Happy,1,9,5,59,Male,Afternoon,Outdoors,Sunny,Exercising,6.319218987
Stressed,2,8,2,33,Male,Evening,Public Space,Rainy,Exercising,4.360440264
Relaxed,1,2,3,21,Female,Night,Outdoors,Rainy,Working,5.925167072
Anxious,3,3,5,33,Male,Night,Outdoors,Sunny,Working,3.985895674
Happy,4,6,3,58,Male,Evening,Outdoors,Cloudy,Relaxing,6.798375457
Stressed,2,10,2,40,Male,Afternoon,Work,Rainy,Socializing,5.230080302
Stressed,4,6,1,61,Male,Morning,Work,Sunny,Working,4.559243586
Happy,1,10,2,50,Female,Morning,Work,Rainy,Working,5.939116009
Sad,4,1,5,34,Male,Morning,Outdoors,Sunny,Exercising,5.33641807
Anxious,2,9,4,43,Male,Morning,Home,Rainy,Socializing,4.464759783
Happy,5,9,2,62,Female,Afternoon,Work,Cloudy,Relaxing,6.204703994
Happy,5,3,4,40,Female,Afternoon,Public Space,Rainy,Socializing,6.230674733
Anxious,2,9,1,60,Male,Afternoon,Work,Cloudy,Socializing,4.048658071
Anxious,3,9,4,28,Female,Evening,Public Space,Cloudy,Working,4.660407909
Relaxed,4,9,5,42,Male,Night,Home,Rainy,Relaxing,5.779091771
Relaxed,5,8,5,34,Male,Evening,Work,Snowy,Exercising,5.753019705
Sad,2,9,1,29,Male,Afternoon,Public Space,Snowy,Socializing,5.49758216
Relaxed,5,3,3,28,Male,Morning,Outdoors,Cloudy,Socializing,5.629986397
Relaxed,2,1,3,43,Male,Afternoon,Public Space,Snowy,Exercising,5.829463705
Anxious,3,3,2,24,Female,Night,Work,Cloudy,Working,3.804797879
Anxious,5,4,5,18,Male,Afternoon,Public Space,Cloudy,Exercising,4.757843059
Anxious,1,4,1,33,Female,Evening,Home,Sunny,Working,4.01577829
Relaxed,5,9,4,27,Male,Evening,Home,Snowy,Socializing,5.967429806
Relaxed,3,4,3,54,Female,Afternoon,Work,Snowy,Exercising,5.991984503
Sad,5,6,2,44,Male,Morning,Public Space,Snowy,Relaxing,5.759365798
Happy,5,5,3,25,Male,Night,Public Space,Cloudy,Relaxing,6.463065888
Stressed,3,10,3,52,Male,Morning,Work,Snowy,Working,4.486645722
Sad,5,9,4,57,Male,Evening,Outdoors,Snowy,Socializing,5.818279647
Happy,2,9,5,31,Female,Evening,Work,Sunny,Relaxing,6.732081188
Happy,1,3,3,38,Female,Night,Home,Rainy,Working,5.819347101
Relaxed,1,5,5,49,Female,Night,Public Space,Snowy,Exercising,6.211534868
Sad,4,6,4,41,Male,Night,Outdoors,Snowy,Relaxing,5.132590206
Sad,3,6,5,19,Male,Morning,Public Space,Cloudy,Exercising,5.847930328
Anxious,5,1,3,29,Male,Morning,Work,Sunny,Relaxing,3.975409569
Relaxed,3,2,5,20,Male,Night,Outdoors,Snowy,Socializing,6.003270776
Relaxed,1,10,2,25,Male,Night,Outdoors,Cloudy,Relaxing,5.63367203
Sad,3,8,3,37,Female,Afternoon,Home,Cloudy,Socializing,5.080112309
Sad,4,3,3,57,Female,Afternoon,Home,Sunny,Working,5.036916981
Sad,4,2,3,48,Male,Afternoon,Work,Rainy,Working,5.653881145
Happy,2,7,3,18,Male,Morning,Home,Snowy,Exercising,6.111941992
Happy,5,2,2,57,Male,Afternoon,Home,Cloudy,Exercising,6.248594584
Relaxed,4,4,1,43,Male,Afternoon,Outdoors,Snowy,Working,5.944646666
Anxious,1,3,1,18,Female,Evening,Outdoors,Cloudy,Working,4.259453198
Happy,4,8,4,54,Female,Evening,Public Space,Snowy,Socializing,6.084429365
Relaxed,3,10,5,25,Male,Night,Work,Cloudy,Socializing,5.859360921
Stressed,2,6,1,25,Female,Morning,Work,Sunny,Relaxing,5.120202694
Relaxed,3,4,1,54,Male,Afternoon,Outdoors,Sunny,Socializing,6.023252161
Sad,5,3,1,26,Male,Night,Home,Rainy,Relaxing,4.977748931
Stressed,5,2,1,55,Male,Afternoon,Home,Rainy,Socializing,4.349268995
Relaxed,1,6,1,23,Female,Evening,Public Space,Sunny,Exercising,5.659419477
Anxious,5,2,2,54,Male,Afternoon,Home,Sunny,Exercising,4.316401649
Anxious,4,10,5,57,Male,Morning,Public Space,Cloudy,Working,4.921961749
Happy,2,8,3,59,Male,Morning,Outdoors,Cloudy,Working,6.441037277
Relaxed,5,1,2,49,Female,Night,Work,Cloudy,Exercising,5.435741644
Relaxed,4,10,4,61,Female,Morning,Home,Sunny,Relaxing,6.448840323
Stressed,3,8,4,41,Female,Afternoon,Work,Cloudy,Working,5.140529729
Relaxed,5,10,4,56,Male,Night,Public Space,Sunny,Working,5.855798029
Stressed,1,4,3,23,Male,Morning,Public Space,Cloudy,Exercising,5.152395378
Relaxed,1,3,5,31,Male,Evening,Work,Cloudy,Socializing,5.530012714
Happy,2,2,5,54,Female,Evening,Work,Cloudy,Socializing,5.805568873
Happy,1,3,3,64,Female,Afternoon,Home,Sunny,Socializing,6.336032196
Sad,3,1,3,56,Female,Night,Public Space,Sunny,Relaxing,4.78908297
Sad,5,1,5,41,Male,Afternoon,Home,Snowy,Working,4.932504397
Sad,4,3,1,49,Male,Afternoon,Work,Rainy,Relaxing,5.595291798
Stressed,1,5,1,45,Male,Morning,Work,Cloudy,Relaxing,4.81668854
Happy,2,2,2,54,Female,Evening,Work,Snowy,Relaxing,6.065605652
Sad,4,9,3,23,Female,Morning,Home,Rainy,Socializing,5.390249439
Sad,1,3,1,18,Female,Morning,Public Space,Snowy,Working,5.456407903
Anxious,1,7,5,59,Female,Morning,Outdoors,Snowy,Socializing,4.598329148
Relaxed,3,8,1,63,Male,Evening,Public Space,Snowy,Relaxing,5.796451002
Happy,1,1,4,51,Male,Night,Home,Rainy,Socializing,6.397832973
Happy,2,9,2,19,Female,Night,Outdoors,Cloudy,Working,6.134701323
Stressed,3,3,2,63,Female,Afternoon,Work,Cloudy,Exercising,4.386307719
Relaxed,3,4,2,41,Male,Afternoon,Outdoors,Snowy,Working,5.607026185
Sad,4,5,2,56,Male,Evening,Public Space,Snowy,Relaxing,4.858802821
Anxious,1,2,5,64,Male,Afternoon,Work,Cloudy,Socializing,4.68812275
Anxious,3,2,4,55,Female,Evening,Outdoors,Cloudy,Socializing,4.429247961
Sad,4,7,4,41,Male,Evening,Outdoors,Cloudy,Exercising,5.730901853
Happy,5,9,3,19,Female,Evening,Public Space,Rainy,Exercising,6.594283983
Relaxed,3,1,5,22,Female,Morning,Work,Rainy,Socializing,6.159402191
Stressed,3,1,3,45,Female,Night,Outdoors,Sunny,Working,4.605022377
Stressed,5,9,3,64,Male,Morning,Outdoors,Rainy,Socializing,5.226443708
Sad,4,2,5,50,Female,Morning,Outdoors,Sunny,Relaxing,5.536514217
Anxious,2,7,4,44,Female,Night,Outdoors,Rainy,Socializing,4.619102901
Relaxed,2,5,4,30,Male,Morning,Work,Cloudy,Relaxing,5.966287288
Happy,4,9,2,35,Female,Evening,Work,Sunny,Relaxing,6.865656366
Relaxed,2,7,3,55,Female,Afternoon,Home,Rainy,Exercising,5.857717925
Sad,5,5,3,29,Female,Evening,Public Space,Cloudy,Relaxing,5.003143442
Anxious,5,1,5,20,Male,Morning,Work,Cloudy,Relaxing,4.58873416
Stressed,1,8,4,55,Female,Afternoon,Public Space,Rainy,Socializing,4.668621356
Anxious,3,6,1,47,Female,Afternoon,Outdoors,Cloudy,Socializing,3.827339633
Stressed,1,10,5,58,Male,Morning,Work,Snowy,Exercising,5.308068
Sad,2,8,3,33,Female,Evening,Work,Cloudy,Socializing,5.526592742
Stressed,5,9,3,24,Male,Afternoon,Home,Sunny,Working,5.110190664
Happy,4,4,1,29,Female,Morning,Outdoors,Sunny,Socializing,6.718238761
Happy,4,2,5,40,Male,Evening,Work,Snowy,Socializing,6.773139085
Sad,1,9,4,23,Male,Night,Work,Sunny,Socializing,5.482524401
Happy,1,2,5,24,Male,Morning,Outdoors,Snowy,Relaxing,6.469459189
Anxious,4,8,2,56,Male,Evening,Work,Snowy,Socializing,4.644711851
Anxious,2,7,5,49,Male,Night,Public Space,Sunny,Exercising,4.06211678
Stressed,1,8,2,27,Female,Morning,Work,Sunny,Socializing,4.942300609
Happy,2,5,4,20,Male,Morning,Outdoors,Sunny,Exercising,6.282804556
Anxious,3,5,1,54,Male,Afternoon,Work,Rainy,Working,4.322380717
Relaxed,5,10,2,46,Male,Evening,Outdoors,Snowy,Working,6.324737751
Happy,2,4,5,31,Female,Evening,Home,Sunny,Socializing,6.10877117
Happy,4,5,4,50,Female,Evening,Home,Sunny,Relaxing,6.587625266
Happy,3,9,4,21,Male,Morning,Work,Cloudy,Exercising,6.538256442
Happy,3,5,4,40,Female,Night,Home,Snowy,Relaxing,6.505930424
Stressed,3,10,2,54,Female,Morning,Outdoors,Sunny,Socializing,4.407983387
Relaxed,5,5,1,58,Female,Morning,Work,Rainy,Exercising,5.570459972
Anxious,2,8,4,43,Male,Afternoon,Home,Snowy,Working,4.538005594
Anxious,5,8,2,47,Female,Afternoon,Outdoors,Rainy,Socializing,4.878941086
Relaxed,3,3,3,38,Female,Morning,Outdoors,Cloudy,Working,5.747532135
Sad,1,7,1,24,Female,Evening,Home,Cloudy,Socializing,5.055530089
